"﻿""Key""","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"JAY2HUNA","preprint","2021","Kim, Wonjae; Son, Bokyung; Kim, Ildoo","ViLT: Vision-and-Language Transformer Without Convolution or Region Supervision","","","","10.48550/arXiv.2102.03334","http://arxiv.org/abs/2102.03334","Vision-and-Language Pre-training (VLP) has improved performance on various joint vision-and-language downstream tasks. Current approaches to VLP heavily rely on image feature extraction processes, most of which involve region supervision (e.g., object detection) and the convolutional architecture (e.g., ResNet). Although disregarded in the literature, we find it problematic in terms of both (1) efficiency/speed, that simply extracting input features requires much more computation than the multimodal interaction steps; and (2) expressive power, as it is upper bounded to the expressive power of the visual embedder and its predefined visual vocabulary. In this paper, we present a minimal VLP model, Vision-and-Language Transformer (ViLT), monolithic in the sense that the processing of visual inputs is drastically simplified to just the same convolution-free manner that we process textual inputs. We show that ViLT is up to tens of times faster than previous VLP models, yet with competitive or better downstream task performance. Our code and pre-trained weights are available at https://github.com/dandelin/vilt.","2021-06-10","2025-05-19 05:49:22","2026-04-08 09:30:30","2025-05-19 05:49:22","","","","","","","ViLT","","","","","arXiv","","en-US","","","","","arXiv.org","","arXiv:2102.03334 [stat]","","","","Transformer Models; Image Feature Extraction; Vision-and-Language Pre-training (VLP); 🌟🌟🌟🌟; ✅","Computer Science - Machine Learning; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:2102.03334","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J9ARSDE6","preprint","2021","Radford, Alec; Kim, Jong Wook; Hallacy, Chris; Ramesh, Aditya; Goh, Gabriel; Agarwal, Sandhini; Sastry, Girish; Askell, Amanda; Mishkin, Pamela; Clark, Jack; Krueger, Gretchen; Sutskever, Ilya","Learning Transferable Visual Models From Natural Language Supervision","","","","10.48550/arXiv.2103.00020","http://arxiv.org/abs/2103.00020","State-of-the-art computer vision systems are trained to predict a fixed set of predetermined object categories. This restricted form of supervision limits their generality and usability since additional labeled data is needed to specify any other visual concept. Learning directly from raw text about images is a promising alternative which leverages a much broader source of supervision. We demonstrate that the simple pre-training task of predicting which caption goes with which image is an efficient and scalable way to learn SOTA image representations from scratch on a dataset of 400 million (image, text) pairs collected from the internet. After pre-training, natural language is used to reference learned visual concepts (or describe new ones) enabling zero-shot transfer of the model to downstream tasks. We study the performance of this approach by benchmarking on over 30 different existing computer vision datasets, spanning tasks such as OCR, action recognition in videos, geo-localization, and many types of fine-grained object classification. The model transfers non-trivially to most tasks and is often competitive with a fully supervised baseline without the need for any dataset specific training. For instance, we match the accuracy of the original ResNet-50 on ImageNet zero-shot without needing to use any of the 1.28 million training examples it was trained on. We release our code and pre-trained model weights at https://github.com/OpenAI/CLIP.","2021-02-26","2025-05-19 05:17:10","2026-04-08 09:30:54","2025-05-19 05:17:10","","","","","","","","","","","","arXiv","","en-US","","","","","arXiv.org","","arXiv:2103.00020 [cs]","","","","Zero-Shot Learning; Computer Vision; Natural Language Processing; 🌟🌟🌟🌟🌟; ✅","Computer Science - Machine Learning; Computer Science - Computer Vision and Pattern Recognition","","","","","","","","","","","","","","","","","","","arXiv:2103.00020","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9C98P8PR","preprint","2021","Liu, Ze; Lin, Yutong; Cao, Yue; Hu, Han; Wei, Yixuan; Zhang, Zheng; Lin, Stephen; Guo, Baining","Swin Transformer: Hierarchical Vision Transformer using Shifted Windows","","","","10.48550/arXiv.2103.14030","http://arxiv.org/abs/2103.14030","This paper presents a new vision Transformer, called Swin Transformer, that capably serves as a general-purpose backbone for computer vision. Challenges in adapting Transformer from language to vision arise from differences between the two domains, such as large variations in the scale of visual entities and the high resolution of pixels in images compared to words in text. To address these differences, we propose a hierarchical Transformer whose representation is computed with \textbf{S}hifted \textbf{win}dows. The shifted windowing scheme brings greater efficiency by limiting self-attention computation to non-overlapping local windows while also allowing for cross-window connection. This hierarchical architecture has the flexibility to model at various scales and has linear computational complexity with respect to image size. These qualities of Swin Transformer make it compatible with a broad range of vision tasks, including image classification (87.3 top-1 accuracy on ImageNet-1K) and dense prediction tasks such as object detection (58.7 box AP and 51.1 mask AP on COCO test-dev) and semantic segmentation (53.5 mIoU on ADE20K val). Its performance surpasses the previous state-of-the-art by a large margin of +2.7 box AP and +2.6 mask AP on COCO, and +3.2 mIoU on ADE20K, demonstrating the potential of Transformer-based models as vision backbones. The hierarchical design and the shifted window approach also prove beneficial for all-MLP architectures. The code and models are publicly available at~\url{https://github.com/microsoft/Swin-Transformer}.","2021-08-17","2025-05-19 05:03:51","2026-04-08 09:30:38","2025-05-19 05:03:51","","","","","","","Swin Transformer","","","","","arXiv","","en-US","","","","","arXiv.org","","arXiv:2103.14030 [cs]","","","","Transformer Models; Computer Vision; Vision Transformers; 🌟🌟🌟🌟; ✅","Computer Science - Machine Learning; Computer Science - Computer Vision and Pattern Recognition","","","","","","","","","","","","","","","","","","","arXiv:2103.14030","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N4SHLP5W","preprint","2021","Dosovitskiy, Alexey; Beyer, Lucas; Kolesnikov, Alexander; Weissenborn, Dirk; Zhai, Xiaohua; Unterthiner, Thomas; Dehghani, Mostafa; Minderer, Matthias; Heigold, Georg; Gelly, Sylvain; Uszkoreit, Jakob; Houlsby, Neil","ViT: An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale","","","","10.48550/arXiv.2010.11929","http://arxiv.org/abs/2010.11929","While the Transformer architecture has become the de-facto standard for natural language processing tasks, its applications to computer vision remain limited. In vision, attention is either applied in conjunction with convolutional networks, or used to replace certain components of convolutional networks while keeping their overall structure in place. We show that this reliance on CNNs is not necessary and a pure transformer applied directly to sequences of image patches can perform very well on image classification tasks. When pre-trained on large amounts of data and transferred to multiple mid-sized or small image recognition benchmarks (ImageNet, CIFAR-100, VTAB, etc.), Vision Transformer (ViT) attains excellent results compared to state-of-the-art convolutional networks while requiring substantially fewer computational resources to train.","2021-06-03","2025-05-19 04:53:09","2026-04-08 09:30:27","2025-05-19 04:53:09","","","","","","","An Image is Worth 16x16 Words","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2010.11929 [cs]","","","","🌟🌟🌟🌟🌟; ✅","Computer Science - Machine Learning; Computer Science - Computer Vision and Pattern Recognition; Computer Science - Artificial Intelligence","","","","","","","","","","","","","","","","","","","arXiv:2010.11929","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DYJIV2D6","preprint","2015","He, Kaiming; Zhang, Xiangyu; Ren, Shaoqing; Sun, Jian","Deep Residual Learning for Image Recognition","","","","10.48550/arXiv.1512.03385","http://arxiv.org/abs/1512.03385","Deeper neural networks are more difficult to train. We present a residual learning framework to ease the training of networks that are substantially deeper than those used previously. We explicitly reformulate the layers as learning residual functions with reference to the layer inputs, instead of learning unreferenced functions. We provide comprehensive empirical evidence showing that these residual networks are easier to optimize, and can gain accuracy from considerably increased depth. On the ImageNet dataset we evaluate residual nets with a depth of up to 152 layers---8x deeper than VGG nets but still having lower complexity. An ensemble of these residual nets achieves 3.57% error on the ImageNet test set. This result won the 1st place on the ILSVRC 2015 classification task. We also present analysis on CIFAR-10 with 100 and 1000 layers. The depth of representations is of central importance for many visual recognition tasks. Solely due to our extremely deep representations, we obtain a 28% relative improvement on the COCO object detection dataset. Deep residual nets are foundations of our submissions to ILSVRC & COCO 2015 competitions, where we also won the 1st places on the tasks of ImageNet detection, ImageNet localization, COCO detection, and COCO segmentation.","2015-12-10","2025-05-19 04:48:10","2026-04-08 09:31:03","2025-05-19 04:48:10","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:1512.03385 [cs]","","","","Deep Learning; Neural Networks; Residual Learning; 🌟🌟🌟🌟🌟; ✅","Computer Science - Computer Vision and Pattern Recognition","","","","","","","","","","","","","","","","","","","arXiv:1512.03385","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PEMAR7QJ","preprint","2022","Ouyang, Long; Wu, Jeff; Jiang, Xu; Almeida, Diogo; Wainwright, Carroll L.; Mishkin, Pamela; Zhang, Chong; Agarwal, Sandhini; Slama, Katarina; Ray, Alex; Schulman, John; Hilton, Jacob; Kelton, Fraser; Miller, Luke; Simens, Maddie; Askell, Amanda; Welinder, Peter; Christiano, Paul; Leike, Jan; Lowe, Ryan","Training language models to follow instructions with human feedback","","","","10.48550/arXiv.2203.02155","http://arxiv.org/abs/2203.02155","Making language models bigger does not inherently make them better at following a user's intent. For example, large language models can generate outputs that are untruthful, toxic, or simply not helpful to the user. In other words, these models are not aligned with their users. In this paper, we show an avenue for aligning language models with user intent on a wide range of tasks by fine-tuning with human feedback. Starting with a set of labeler-written prompts and prompts submitted through the OpenAI API, we collect a dataset of labeler demonstrations of the desired model behavior, which we use to fine-tune GPT-3 using supervised learning. We then collect a dataset of rankings of model outputs, which we use to further fine-tune this supervised model using reinforcement learning from human feedback. We call the resulting models InstructGPT. In human evaluations on our prompt distribution, outputs from the 1.3B parameter InstructGPT model are preferred to outputs from the 175B GPT-3, despite having 100x fewer parameters. Moreover, InstructGPT models show improvements in truthfulness and reductions in toxic output generation while having minimal performance regressions on public NLP datasets. Even though InstructGPT still makes simple mistakes, our results show that fine-tuning with human feedback is a promising direction for aligning language models with human intent.","2022-03-04","2025-05-18 08:00:56","2026-04-08 09:31:19","2025-05-18 08:00:56","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2203.02155 [cs]","","","","🌟🌟🌟🌟🌟; InstructGPT; RLHF; ✅","Computer Science - Machine Learning; Computer Science - Artificial Intelligence; Computer Science - Computation and Language","","","","","","","","","","","","","","","","","","","arXiv:2203.02155","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JLAFG6IP","preprint","2020","Brown, Tom B.; Mann, Benjamin; Ryder, Nick; Subbiah, Melanie; Kaplan, Jared; Dhariwal, Prafulla; Neelakantan, Arvind; Shyam, Pranav; Sastry, Girish; Askell, Amanda; Agarwal, Sandhini; Herbert-Voss, Ariel; Krueger, Gretchen; Henighan, Tom; Child, Rewon; Ramesh, Aditya; Ziegler, Daniel M.; Wu, Jeffrey; Winter, Clemens; Hesse, Christopher; Chen, Mark; Sigler, Eric; Litwin, Mateusz; Gray, Scott; Chess, Benjamin; Clark, Jack; Berner, Christopher; McCandlish, Sam; Radford, Alec; Sutskever, Ilya; Amodei, Dario","Language Models are Few-Shot Learners","","","","10.48550/arXiv.2005.14165","http://arxiv.org/abs/2005.14165","Recent work has demonstrated substantial gains on many NLP tasks and benchmarks by pre-training on a large corpus of text followed by ﬁne-tuning on a speciﬁc task. While typically task-agnostic in architecture, this method still requires task-speciﬁc ﬁne-tuning datasets of thousands or tens of thousands of examples. By contrast, humans can generally perform a new language task from only a few examples or from simple instructions – something which current NLP systems still largely struggle to do. Here we show that scaling up language models greatly improves task-agnostic, few-shot performance, sometimes even reaching competitiveness with prior state-of-the-art ﬁnetuning approaches. Speciﬁcally, we train GPT-3, an autoregressive language model with 175 billion parameters, 10x more than any previous non-sparse language model, and test its performance in the few-shot setting. For all tasks, GPT-3 is applied without any gradient updates or ﬁne-tuning, with tasks and few-shot demonstrations speciﬁed purely via text interaction with the model. GPT-3 achieves strong performance on many NLP datasets, including translation, question-answering, and cloze tasks, as well as several tasks that require on-the-ﬂy reasoning or domain adaptation, such as unscrambling words, using a novel word in a sentence, or performing 3-digit arithmetic. At the same time, we also identify some datasets where GPT-3’s few-shot learning still struggles, as well as some datasets where GPT-3 faces methodological issues related to training on large web corpora. Finally, we ﬁnd that GPT-3 can generate samples of news articles which human evaluators have difﬁculty distinguishing from articles written by humans. We discuss broader societal impacts of this ﬁnding and of GPT-3 in general.","2020-07-22","2025-05-18 04:58:14","2026-04-08 09:31:34","2025-05-18 04:58:14","","","","","","","","","","","","arXiv","","en","","","","","arXiv.org","","arXiv:2005.14165 [cs]","","","","Computer Science - Artificial Intelligence; Computer Science - Computation and Language; Few-shot Learning; GPT-3 Performance; NLP Pre-training; 🌟🌟🌟🌟🌟; ✅","","","","","","","","","","","","","","","","","","","","arXiv:2005.14165","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TRFMXN55","preprint","2024","Cheng, Daixuan; Gu, Yuxian; Huang, Shaohan; Bi, Junyu; Huang, Minlie; Wei, Furu","Instruction Pre-Training: Language Models are Supervised Multitask Learners","","","","10.48550/arXiv.2406.14491","http://arxiv.org/abs/2406.14491","Unsupervised multitask pre-training has been the critical method behind the recent success of language models (LMs). However, supervised multitask learning still holds significant promise, as scaling it in the post-training stage trends towards better generalization. In this paper, we explore supervised multitask pre-training by proposing Instruction Pre-Training, a framework that scalably augments massive raw corpora with instruction-response pairs to pre-train LMs. The instruction-response pairs are generated by an efficient instruction synthesizer built on open-source models. In our experiments, we synthesize 200M instruction-response pairs covering 40+ task categories to verify the effectiveness of Instruction Pre-Training. In pre-training from scratch, Instruction Pre-Training not only consistently enhances pre-trained base models but also benefits more from further instruction tuning. In continual pre-training, Instruction Pre-Training enables Llama3-8B to be comparable to or even outperform Llama3-70B. Our model, code, and data are available at https://github.com/microsoft/LMOps.","2024-11-28","2025-05-18 06:53:37","2026-04-08 09:31:37","2025-05-18 06:53:37","","","","","","","Instruction Pre-Training","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2406.14491 [cs]","","","","🌟🌟🌟🌟; ✅","Computer Science - Computation and Language","","","","","","","","","","","","","","","","","","","arXiv:2406.14491","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RUGDL5AH","preprint","2024","OpenAI; Achiam, Josh; Adler, Steven; Agarwal, Sandhini; Ahmad, Lama; Akkaya, Ilge; Aleman, Florencia Leoni; Almeida, Diogo; Altenschmidt, Janko; Altman, Sam; Anadkat, Shyamal; Avila, Red; Babuschkin, Igor; Balaji, Suchir; Balcom, Valerie; Baltescu, Paul; Bao, Haiming; Bavarian, Mohammad; Belgum, Jeff; Bello, Irwan; Berdine, Jake; Bernadett-Shapiro, Gabriel; Berner, Christopher; Bogdonoff, Lenny; Boiko, Oleg; Boyd, Madelaine; Brakman, Anna-Luisa; Brockman, Greg; Brooks, Tim; Brundage, Miles; Button, Kevin; Cai, Trevor; Campbell, Rosie; Cann, Andrew; Carey, Brittany; Carlson, Chelsea; Carmichael, Rory; Chan, Brooke; Chang, Che; Chantzis, Fotis; Chen, Derek; Chen, Sully; Chen, Ruby; Chen, Jason; Chen, Mark; Chess, Ben; Cho, Chester; Chu, Casey; Chung, Hyung Won; Cummings, Dave; Currier, Jeremiah; Dai, Yunxing; Decareaux, Cory; Degry, Thomas; Deutsch, Noah; Deville, Damien; Dhar, Arka; Dohan, David; Dowling, Steve; Dunning, Sheila; Ecoffet, Adrien; Eleti, Atty; Eloundou, Tyna; Farhi, David; Fedus, Liam; Felix, Niko; Fishman, Simón Posada; Forte, Juston; Fulford, Isabella; Gao, Leo; Georges, Elie; Gibson, Christian; Goel, Vik; Gogineni, Tarun; Goh, Gabriel; Gontijo-Lopes, Rapha; Gordon, Jonathan; Grafstein, Morgan; Gray, Scott; Greene, Ryan; Gross, Joshua; Gu, Shixiang Shane; Guo, Yufei; Hallacy, Chris; Han, Jesse; Harris, Jeff; He, Yuchen; Heaton, Mike; Heidecke, Johannes; Hesse, Chris; Hickey, Alan; Hickey, Wade; Hoeschele, Peter; Houghton, Brandon; Hsu, Kenny; Hu, Shengli; Hu, Xin; Huizinga, Joost; Jain, Shantanu; Jain, Shawn; Jang, Joanne; Jiang, Angela; Jiang, Roger; Jin, Haozhun; Jin, Denny; Jomoto, Shino; Jonn, Billie; Jun, Heewoo; Kaftan, Tomer; Kaiser, Łukasz; Kamali, Ali; Kanitscheider, Ingmar; Keskar, Nitish Shirish; Khan, Tabarak; Kilpatrick, Logan; Kim, Jong Wook; Kim, Christina; Kim, Yongjik; Kirchner, Jan Hendrik; Kiros, Jamie; Knight, Matt; Kokotajlo, Daniel; Kondraciuk, Łukasz; Kondrich, Andrew; Konstantinidis, Aris; Kosic, Kyle; Krueger, Gretchen; Kuo, Vishal; Lampe, Michael; Lan, Ikai; Lee, Teddy; Leike, Jan; Leung, Jade; Levy, Daniel; Li, Chak Ming; Lim, Rachel; Lin, Molly; Lin, Stephanie; Litwin, Mateusz; Lopez, Theresa; Lowe, Ryan; Lue, Patricia; Makanju, Anna; Malfacini, Kim; Manning, Sam; Markov, Todor; Markovski, Yaniv; Martin, Bianca; Mayer, Katie; Mayne, Andrew; McGrew, Bob; McKinney, Scott Mayer; McLeavey, Christine; McMillan, Paul; McNeil, Jake; Medina, David; Mehta, Aalok; Menick, Jacob; Metz, Luke; Mishchenko, Andrey; Mishkin, Pamela; Monaco, Vinnie; Morikawa, Evan; Mossing, Daniel; Mu, Tong; Murati, Mira; Murk, Oleg; Mély, David; Nair, Ashvin; Nakano, Reiichiro; Nayak, Rajeev; Neelakantan, Arvind; Ngo, Richard; Noh, Hyeonwoo; Ouyang, Long; O'Keefe, Cullen; Pachocki, Jakub; Paino, Alex; Palermo, Joe; Pantuliano, Ashley; Parascandolo, Giambattista; Parish, Joel; Parparita, Emy; Passos, Alex; Pavlov, Mikhail; Peng, Andrew; Perelman, Adam; Peres, Filipe de Avila Belbute; Petrov, Michael; Pinto, Henrique Ponde de Oliveira; Michael; Pokorny; Pokrass, Michelle; Pong, Vitchyr H.; Powell, Tolly; Power, Alethea; Power, Boris; Proehl, Elizabeth; Puri, Raul; Radford, Alec; Rae, Jack; Ramesh, Aditya; Raymond, Cameron; Real, Francis; Rimbach, Kendra; Ross, Carl; Rotsted, Bob; Roussez, Henri; Ryder, Nick; Saltarelli, Mario; Sanders, Ted; Santurkar, Shibani; Sastry, Girish; Schmidt, Heather; Schnurr, David; Schulman, John; Selsam, Daniel; Sheppard, Kyla; Sherbakov, Toki; Shieh, Jessica; Shoker, Sarah; Shyam, Pranav; Sidor, Szymon; Sigler, Eric; Simens, Maddie; Sitkin, Jordan; Slama, Katarina; Sohl, Ian; Sokolowsky, Benjamin; Song, Yang; Staudacher, Natalie; Such, Felipe Petroski; Summers, Natalie; Sutskever, Ilya; Tang, Jie; Tezak, Nikolas; Thompson, Madeleine B.; Tillet, Phil; Tootoonchian, Amin; Tseng, Elizabeth; Tuggle, Preston; Turley, Nick; Tworek, Jerry; Uribe, Juan Felipe Cerón; Vallone, Andrea; Vijayvergiya, Arun; Voss, Chelsea; Wainwright, Carroll; Wang, Justin Jay; Wang, Alvin; Wang, Ben; Ward, Jonathan; Wei, Jason; Weinmann, C. J.; Welihinda, Akila; Welinder, Peter; Weng, Jiayi; Weng, Lilian; Wiethoff, Matt; Willner, Dave; Winter, Clemens; Wolrich, Samuel; Wong, Hannah; Workman, Lauren; Wu, Sherwin; Wu, Jeff; Wu, Michael; Xiao, Kai; Xu, Tao; Yoo, Sarah; Yu, Kevin; Yuan, Qiming; Zaremba, Wojciech; Zellers, Rowan; Zhang, Chong; Zhang, Marvin; Zhao, Shengjia; Zheng, Tianhao; Zhuang, Juntang; Zhuk, William; Zoph, Barret","GPT-4 Technical Report","","","","10.48550/arXiv.2303.08774","http://arxiv.org/abs/2303.08774","We report the development of GPT-4, a large-scale, multimodal model which can accept image and text inputs and produce text outputs. While less capable than humans in many real-world scenarios, GPT-4 exhibits human-level performance on various professional and academic benchmarks, including passing a simulated bar exam with a score around the top 10% of test takers. GPT-4 is a Transformer-based model pre-trained to predict the next token in a document. The post-training alignment process results in improved performance on measures of factuality and adherence to desired behavior. A core component of this project was developing infrastructure and optimization methods that behave predictably across a wide range of scales. This allowed us to accurately predict some aspects of GPT-4's performance based on models trained with no more than 1/1,000th the compute of GPT-4.","2024-03-04","2025-05-18 05:16:15","2026-04-08 09:31:39","2025-05-18 05:16:15","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2303.08774 [cs]","","","","Benchmark Performance; GPT-4; Large-scale Multimodal Model; 🌟🌟🌟; ✅","Computer Science - Artificial Intelligence; Computer Science - Computation and Language","","","","","","","","","","","","","","","","","","","arXiv:2303.08774","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6RIBVR23","preprint","2024","Lu, Haoyu; Liu, Wen; Zhang, Bo; Wang, Bingxuan; Dong, Kai; Liu, Bo; Sun, Jingxiang; Ren, Tongzheng; Li, Zhuoshu; Yang, Hao; Sun, Yaofeng; Deng, Chengqi; Xu, Hanwei; Xie, Zhenda; Ruan, Chong","DeepSeek-VL: Towards Real-World Vision-Language Understanding","","","","10.48550/arXiv.2403.05525","http://arxiv.org/abs/2403.05525","We present DeepSeek-VL, an open-source Vision-Language (VL) Model designed for real-world vision and language understanding applications. Our approach is structured around three key dimensions: • Data Construction: We strive to ensure our data is diverse, scalable and extensively covers real-world scenarios including web screenshots, PDFs, OCR, charts, and knowledge-based content (expert knowledge, textbooks), aiming for a comprehensive representation of practical contexts. Further, we create a use case taxonomy from real user scenarios and construct an instruction-tuning dataset accordingly. The fine-tuning with this dataset substantially improves the model’s user experience in practical applications.","2024-03-11","2025-05-18 05:00:25","2026-04-08 09:31:03","2025-05-18 05:00:25","","","","","","","DeepSeek-VL","","","","","arXiv","","en","","","","","arXiv.org","","arXiv:2403.05525 [cs]","","","","Deep Learning; Literature Management; Vision-Language Model; 🌟🌟🌟🌟; ✅","Computer Science - Artificial Intelligence","","","","","","","","","","","","","","","","","","","arXiv:2403.05525","","","","","","","","","","","","","","","","","","","","","","","","","","",""
